shipment_id,week,sku_id,destination_region,planned_arrival_date,actual_arrival_date,delay_days,units_shipped,shipment_status,carrier,shipment_cost_inr,anomaly_flag
SHP00074,2025-W02,SKU-008,East,2025-01-08,2025-01-10,2,1009,LATE_MINOR,Delhivery,2843.0,False
SHP00075,2025-W02,SKU-008,East,2025-01-09,2025-01-10,1,1215,LATE_MINOR,Ecom Express,1860.0,False
SHP00076,2025-W02,SKU-008,East,2025-01-07,2025-01-06,0,1094,ON_TIME,Delhivery,3343.0,False
SHP00077,2025-W02,SKU-008,West,2025-01-09,2025-01-09,0,749,LATE_MINOR,BlueDart,1269.0,False
SHP00078,2025-W02,SKU-008,Central,2025-01-09,2025-01-09,0,946,LATE_MINOR,Delhivery,2283.0,False
SHP00079,2025-W02,SKU-008,Central,2025-01-10,2025-01-10,0,824,LATE_MINOR,BlueDart,2547.0,False
SHP00080,2025-W02,SKU-008,Central,2025-01-07,2025-01-06,0,926,ON_TIME,Ecom Express,2160.0,False
SHP00081,2025-W02,SKU-009,North,2025-01-10,2025-01-09,0,934,ON_TIME,BlueDart,7251.0,False
SHP00082,2025-W02,SKU-009,South,2025-01-11,2025-01-11,0,351,LATE_MINOR,Delhivery,1398.0,False
SHP00083,2025-W02,SKU-009,East,2025-01-08,2025-01-09,1,1471,LATE_MINOR,BlueDart,6372.0,False
SHP00084,2025-W02,SKU-009,West,2025-01-07,2025-01-09,2,433,LATE_MINOR,XpressBees,1751.0,False
SHP00085,2025-W02,SKU-009,Central,2025-01-09,2025-01-11,2,1067,LATE_MINOR,XpressBees,6420.0,False
SHP00086,2025-W02,SKU-009,Central,2025-01-09,2025-01-10,1,906,LATE_MINOR,Delhivery,3058.0,False
SHP00087,2025-W02,SKU-009,Central,2025-01-08,2025-01-07,0,268,ON_TIME,Ecom Express,3016.0,False
SHP00088,2025-W02,SKU-010,North,2025-01-07,2025-01-08,1,828,LATE_MINOR,Ecom Express,2646.0,False
SHP00089,2025-W02,SKU-010,North,2025-01-10,2025-01-09,0,1432,ON_TIME,BlueDart,1728.0,False
SHP00090,2025-W02,SKU-010,North,2025-01-10,2025-01-09,0,236,ON_TIME,BlueDart,4560.0,False
SHP00091,2025-W02,SKU-010,South,2025-01-10,2025-01-12,2,857,LATE_MINOR,Ecom Express,5314.0,False
SHP00092,2025-W02,SKU-010,South,2025-01-11,2025-01-10,0,786,ON_TIME,XpressBees,6471.0,False
SHP00093,2025-W02,SKU-010,South,2025-01-07,2025-01-08,1,1129,LATE_MINOR,XpressBees,3502.0,False
SHP00094,2025-W02,SKU-010,East,2025-01-07,2025-01-06,0,297,ON_TIME,Delhivery,5513.0,False
SHP00095,2025-W02,SKU-010,East,2025-01-10,2025-01-10,0,1067,LATE_MINOR,Delhivery,1333.0,False
SHP00096,2025-W02,SKU-010,East,2025-01-09,2025-01-09,0,617,LATE_MINOR,Delhivery,1286.0,False
SHP00097,2025-W02,SKU-010,West,2025-01-09,2025-01-09,0,476,LATE_MINOR,BlueDart,7989.0,False
SHP00098,2025-W02,SKU-010,West,2025-01-10,2025-01-09,0,834,ON_TIME,Ecom Express,6312.0,False
SHP00099,2025-W02,SKU-010,Central,2025-01-07,2025-01-06,0,750,ON_TIME,BlueDart,2901.0,False
SHP00100,2025-W02,SKU-010,Central,2025-01-08,2025-01-09,1,453,LATE_MINOR,Delhivery,6290.0,False
SHP00101,2025-W03,SKU-001,North,2025-01-16,2025-01-18,2,1001,LATE_MINOR,Ecom Express,7241.0,False
SHP00102,2025-W03,SKU-001,South,2025-01-17,2025-01-17,0,1227,LATE_MINOR,BlueDart,6834.0,False
SHP00103,2025-W03,SKU-001,South,2025-01-16,2025-01-17,1,1499,LATE_MINOR,Ecom Express,4324.0,False
SHP00104,2025-W03,SKU-001,South,2025-01-15,2025-01-15,0,874,LATE_MINOR,Ecom Express,6653.0,False
SHP00105,2025-W03,SKU-001,East,2025-01-18,2025-01-19,1,1432,LATE_MINOR,Delhivery,2742.0,False
SHP00106,2025-W03,SKU-001,West,2025-01-15,2025-01-14,0,891,ON_TIME,XpressBees,5149.0,False
SHP00107,2025-W03,SKU-001,West,2025-01-14,2025-01-13,0,1064,ON_TIME,Delhivery,4095.0,False
SHP00108,2025-W03,SKU-001,Central,2025-01-14,2025-01-13,0,599,ON_TIME,Delhivery,6481.0,False
SHP00109,2025-W03,SKU-002,North,2025-01-15,2025-01-14,0,500,ON_TIME,BlueDart,6015.0,False
SHP00110,2025-W03,SKU-002,North,2025-01-15,2025-01-15,0,382,LATE_MINOR,Delhivery,3401.0,False
SHP00111,2025-W03,SKU-002,South,2025-01-16,2025-01-18,2,885,LATE_MINOR,Delhivery,4212.0,False
SHP00112,2025-W03,SKU-002,East,2025-01-17,2025-01-18,1,646,LATE_MINOR,BlueDart,2089.0,False
SHP00113,2025-W03,SKU-002,East,2025-01-16,2025-01-16,0,627,LATE_MINOR,XpressBees,6085.0,False
SHP00114,2025-W03,SKU-002,West,2025-01-18,2025-01-19,1,1341,LATE_MINOR,Ecom Express,6154.0,False
SHP00115,2025-W03,SKU-002,Central,2025-01-16,2025-01-15,0,233,ON_TIME,BlueDart,2239.0,False
SHP00116,2025-W03,SKU-002,Central,2025-01-17,2025-01-16,0,339,ON_TIME,BlueDart,7694.0,False
SHP00117,2025-W03,SKU-002,Central,2025-01-18,2025-01-19,1,943,LATE_MINOR,Ecom Express,4964.0,False
SHP00118,2025-W03,SKU-003,North,2025-01-14,2025-01-15,1,267,LATE_MINOR,BlueDart,4081.0,False
SHP00119,2025-W03,SKU-003,North,2025-01-15,2025-01-14,0,559,ON_TIME,Delhivery,4429.0,False
SHP00120,2025-W03,SKU-003,North,2025-01-17,2025-01-19,2,963,LATE_MINOR,XpressBees,2961.0,False
SHP00121,2025-W03,SKU-003,South,2025-01-16,2025-01-16,0,329,LATE_MINOR,BlueDart,5831.0,False
SHP00122,2025-W03,SKU-003,East,2025-01-16,2025-01-18,2,841,LATE_MINOR,Ecom Express,5237.0,False
SHP00123,2025-W03,SKU-003,West,2025-01-16,2025-01-17,1,1035,LATE_MINOR,Ecom Express,2117.0,False
SHP00124,2025-W03,SKU-003,West,2025-01-15,2025-01-16,1,255,LATE_MINOR,BlueDart,2168.0,False
SHP00125,2025-W03,SKU-003,West,2025-01-17,2025-01-17,0,742,LATE_MINOR,BlueDart,4153.0,False
SHP00126,2025-W03,SKU-003,Central,2025-01-14,2025-01-15,1,260,LATE_MINOR,XpressBees,2754.0,False
SHP00127,2025-W03,SKU-003,Central,2025-01-14,2025-01-16,2,817,LATE_MINOR,Ecom Express,6501.0,False
SHP00128,2025-W03,SKU-004,North,2025-01-15,2025-01-17,2,343,LATE_MINOR,BlueDart,5018.0,False
SHP00129,2025-W03,SKU-004,South,2025-01-16,2025-01-15,0,332,ON_TIME,Delhivery,6832.0,False
SHP00130,2025-W03,SKU-004,East,2025-01-14,2025-01-16,2,614,LATE_MINOR,XpressBees,4577.0,False
SHP00131,2025-W03,SKU-004,East,2025-01-14,2025-01-14,0,291,LATE_MINOR,Ecom Express,2259.0,False
SHP00132,2025-W03,SKU-004,East,2025-01-17,2025-01-17,0,457,LATE_MINOR,XpressBees,3162.0,False
SHP00133,2025-W03,SKU-004,West,2025-01-14,2025-01-13,0,817,ON_TIME,Delhivery,5451.0,False
SHP00134,2025-W03,SKU-004,West,2025-01-15,2025-01-17,2,960,LATE_MINOR,XpressBees,6397.0,False
SHP00135,2025-W03,SKU-004,West,2025-01-16,2025-01-17,1,506,LATE_MINOR,Delhivery,6555.0,False
SHP00136,2025-W03,SKU-004,Central,2025-01-16,2025-01-16,0,1049,LATE_MINOR,BlueDart,2407.0,False
SHP00137,2025-W03,SKU-004,Central,2025-01-16,2025-01-18,2,362,LATE_MINOR,XpressBees,6008.0,False
SHP00138,2025-W03,SKU-004,Central,2025-01-16,2025-01-17,1,1181,LATE_MINOR,Delhivery,4986.0,False
SHP00139,2025-W03,SKU-005,North,2025-01-16,2025-01-16,0,554,LATE_MINOR,Delhivery,2284.0,False
SHP00140,2025-W03,SKU-005,South,2025-01-16,2025-01-17,1,859,LATE_MINOR,XpressBees,3638.0,False
SHP00141,2025-W03,SKU-005,East,2025-01-16,2025-01-17,1,539,LATE_MINOR,Delhivery,2259.0,False
SHP00142,2025-W03,SKU-005,West,2025-01-17,2025-01-18,1,1185,LATE_MINOR,BlueDart,6174.0,False
SHP00143,2025-W03,SKU-005,West,2025-01-15,2025-01-16,1,1360,LATE_MINOR,Ecom Express,5897.0,False
SHP00144,2025-W03,SKU-005,Central,2025-01-18,2025-01-20,2,1336,LATE_MINOR,Ecom Express,6610.0,False
SHP00145,2025-W03,SKU-006,North,2025-01-15,2025-01-14,0,1012,ON_TIME,BlueDart,6457.0,False
SHP00146,2025-W03,SKU-006,North,2025-01-18,2025-01-19,1,872,LATE_MINOR,Ecom Express,5987.0,False
SHP00147,2025-W03,SKU-006,South,2025-01-15,2025-01-15,0,991,LATE_MINOR,Ecom Express,7810.0,False
SHP00148,2025-W03,SKU-006,East,2025-01-17,2025-01-17,0,898,LATE_MINOR,Delhivery,2455.0,False
SHP00149,2025-W03,SKU-006,East,2025-01-14,2025-01-13,0,1491,ON_TIME,XpressBees,3782.0,False
SHP00150,2025-W03,SKU-006,East,2025-01-16,2025-01-18,2,894,LATE_MINOR,Delhivery,7701.0,False
SHP00151,2025-W03,SKU-006,West,2025-01-18,2025-01-20,2,1421,LATE_MINOR,XpressBees,3370.0,False
SHP00152,2025-W03,SKU-006,West,2025-01-15,2025-01-15,0,1185,LATE_MINOR,BlueDart,5899.0,False
SHP00153,2025-W03,SKU-006,West,2025-01-15,2025-01-17,2,1109,LATE_MINOR,XpressBees,2446.0,False
SHP00154,2025-W03,SKU-006,Central,2025-01-18,2025-01-20,2,1422,LATE_MINOR,BlueDart,4843.0,False
SHP00155,2025-W03,SKU-006,Central,2025-01-18,2025-01-20,2,400,LATE_MINOR,XpressBees,1428.0,False
SHP00156,2025-W03,SKU-006,Central,2025-01-17,2025-01-17,0,448,LATE_MINOR,BlueDart,4531.0,False
SHP00157,2025-W03,SKU-007,North,2025-01-17,2025-01-18,1,322,LATE_MINOR,Ecom Express,2059.0,False
SHP00158,2025-W03,SKU-007,North,2025-01-14,2025-01-16,2,1307,LATE_MINOR,Delhivery,1968.0,False
SHP00159,2025-W03,SKU-007,South,2025-01-15,2025-01-15,0,651,LATE_MINOR,BlueDart,1338.0,False
SHP00160,2025-W03,SKU-007,South,2025-01-14,2025-01-13,0,611,ON_TIME,Delhivery,2509.0,False
SHP00161,2025-W03,SKU-007,South,2025-01-18,2025-01-18,0,636,LATE_MINOR,Delhivery,2451.0,False
SHP00162,2025-W03,SKU-007,East,2025-01-17,2025-01-18,1,951,LATE_MINOR,BlueDart,7418.0,False
SHP00163,2025-W03,SKU-007,East,2025-01-16,2025-01-16,0,798,LATE_MINOR,Delhivery,5590.0,False
SHP00164,2025-W03,SKU-007,West,2025-01-15,2025-01-14,0,637,ON_TIME,XpressBees,7416.0,False
SHP00165,2025-W03,SKU-007,Central,2025-01-16,2025-01-17,1,581,LATE_MINOR,XpressBees,3473.0,False
SHP00166,2025-W03,SKU-007,Central,2025-01-16,2025-01-18,2,1212,LATE_MINOR,Delhivery,4393.0,False
SHP00167,2025-W03,SKU-008,North,2025-01-18,2025-01-17,0,879,ON_TIME,Delhivery,7870.0,False
SHP00168,2025-W03,SKU-008,North,2025-01-14,2025-01-16,2,964,LATE_MINOR,Delhivery,2389.0,False
SHP00169,2025-W03,SKU-008,South,2025-01-16,2025-01-17,1,752,LATE_MINOR,BlueDart,7441.0,False
SHP00170,2025-W03,SKU-008,South,2025-01-16,2025-01-18,2,542,LATE_MINOR,Ecom Express,5724.0,False
SHP00171,2025-W03,SKU-008,East,2025-01-14,2025-01-13,0,1186,ON_TIME,Delhivery,6565.0,False
SHP00172,2025-W03,SKU-008,East,2025-01-15,2025-01-14,0,904,ON_TIME,XpressBees,7062.0,False
SHP00173,2025-W03,SKU-008,East,2025-01-15,2025-01-15,0,310,LATE_MINOR,Ecom Express,4963.0,False
SHP00174,2025-W03,SKU-008,West,2025-01-17,2025-01-17,0,214,LATE_MINOR,BlueDart,3338.0,False
SHP00175,2025-W03,SKU-008,West,2025-01-17,2025-01-18,1,1219,LATE_MINOR,Ecom Express,2352.0,False
SHP00176,2025-W03,SKU-008,West,2025-01-18,2025-01-17,0,326,ON_TIME,Ecom Express,1424.0,False
SHP00177,2025-W03,SKU-008,Central,2025-01-17,2025-01-17,0,322,LATE_MINOR,Ecom Express,3156.0,False
SHP00178,2025-W03,SKU-008,Central,2025-01-16,2025-01-17,1,706,LATE_MINOR,BlueDart,7495.0,False
SHP00179,2025-W03,SKU-009,North,2025-01-15,2025-01-16,1,1083,LATE_MINOR,Delhivery,6809.0,False
SHP00180,2025-W03,SKU-009,South,2025-01-18,2025-01-18,0,202,LATE_MINOR,Ecom Express,3354.0,False
SHP00181,2025-W03,SKU-009,East,2025-01-16,2025-01-16,0,1461,LATE_MINOR,Ecom Express,2660.0,False
SHP00182,2025-W03,SKU-009,East,2025-01-17,2025-01-19,2,775,LATE_MINOR,XpressBees,7750.0,False
SHP00183,2025-W03,SKU-009,West,2025-01-17,2025-01-17,0,776,LATE_MINOR,Delhivery,6061.0,False
SHP00184,2025-W03,SKU-009,Central,2025-01-17,2025-01-17,0,405,LATE_MINOR,Delhivery,2388.0,False
SHP00185,2025-W03,SKU-009,Central,2025-01-15,2025-01-16,1,1095,LATE_MINOR,Delhivery,1681.0,False
SHP00186,2025-W03,SKU-010,North,2025-01-14,2025-01-14,0,379,LATE_MINOR,Delhivery,1707.0,False
SHP00187,2025-W03,SKU-010,South,2025-01-14,2025-01-15,1,960,LATE_MINOR,BlueDart,2384.0,False
SHP00188,2025-W03,SKU-010,East,2025-01-18,2025-01-17,0,1077,ON_TIME,Ecom Express,4390.0,False
SHP00189,2025-W03,SKU-010,East,2025-01-18,2025-01-20,2,856,LATE_MINOR,Delhivery,3610.0,False
SHP00190,2025-W03,SKU-010,West,2025-01-16,2025-01-17,1,1426,LATE_MINOR,Delhivery,5537.0,False
SHP00191,2025-W03,SKU-010,West,2025-01-15,2025-01-14,0,1255,ON_TIME,BlueDart,6292.0,False
SHP00192,2025-W03,SKU-010,West,2025-01-15,2025-01-17,2,426,LATE_MINOR,BlueDart,7048.0,False
SHP00193,2025-W03,SKU-010,Central,2025-01-15,2025-01-14,0,269,ON_TIME,Ecom Express,4467.0,False
SHP00194,2025-W03,SKU-010,Central,2025-01-14,2025-01-14,0,613,LATE_MINOR,Ecom Express,2365.0,False
SHP00195,2025-W04,SKU-001,North,2025-01-21,2025-01-22,1,364,LATE_MINOR,Ecom Express,2620.0,False
SHP00196,2025-W04,SKU-001,North,2025-01-25,2025-01-24,0,1463,ON_TIME,XpressBees,5813.0,False
SHP00197,2025-W04,SKU-001,South,2025-01-25,2025-01-26,1,1382,LATE_MINOR,BlueDart,4729.0,False
SHP00198,2025-W04,SKU-001,South,2025-01-22,2025-01-24,2,1300,LATE_MINOR,BlueDart,7550.0,False
SHP00199,2025-W04,SKU-001,East,2025-01-22,2025-01-21,0,476,ON_TIME,Delhivery,7105.0,False
SHP00200,2025-W04,SKU-001,East,2025-01-21,2025-01-21,0,1433,LATE_MINOR,Ecom Express,7209.0,False
SHP00201,2025-W04,SKU-001,West,2025-01-22,2025-01-24,2,796,LATE_MINOR,Delhivery,3118.0,False
SHP00202,2025-W04,SKU-001,West,2025-01-22,2025-01-23,1,1425,LATE_MINOR,Delhivery,1691.0,False
SHP00203,2025-W04,SKU-001,West,2025-01-22,2025-01-23,1,939,LATE_MINOR,Ecom Express,7655.0,False
SHP00204,2025-W04,SKU-001,Central,2025-01-24,2025-01-25,1,1364,LATE_MINOR,XpressBees,7706.0,False
SHP00205,2025-W04,SKU-001,Central,2025-01-23,2025-01-24,1,696,LATE_MINOR,Ecom Express,5743.0,False
SHP00206,2025-W04,SKU-001,Central,2025-01-23,2025-01-23,0,1451,LATE_MINOR,Delhivery,6175.0,False
SHP00207,2025-W04,SKU-002,North,2025-01-25,2025-01-25,0,1174,LATE_MINOR,BlueDart,5607.0,False
SHP00208,2025-W04,SKU-002,North,2025-01-24,2025-01-24,0,640,LATE_MINOR,BlueDart,6310.0,False
SHP00209,2025-W04,SKU-002,South,2025-01-24,2025-01-25,1,236,LATE_MINOR,BlueDart,1297.0,False
SHP00210,2025-W04,SKU-002,South,2025-01-24,2025-01-24,0,1473,LATE_MINOR,BlueDart,5018.0,False
SHP00211,2025-W04,SKU-002,South,2025-01-22,2025-01-24,2,1250,LATE_MINOR,Ecom Express,4852.0,False
SHP00212,2025-W04,SKU-002,East,2025-01-22,2025-01-21,0,1248,ON_TIME,Delhivery,4477.0,False
SHP00213,2025-W04,SKU-002,West,2025-01-24,2025-01-25,1,1235,LATE_MINOR,XpressBees,6482.0,False
SHP00214,2025-W04,SKU-002,West,2025-01-25,2025-01-27,2,206,LATE_MINOR,Delhivery,4294.0,False
SHP00215,2025-W04,SKU-002,West,2025-01-25,2025-01-26,1,700,LATE_MINOR,BlueDart,3402.0,False
SHP00216,2025-W04,SKU-002,Central,2025-01-21,2025-01-20,0,530,ON_TIME,Ecom Express,6003.0,False
SHP00217,2025-W04,SKU-002,Central,2025-01-25,2025-01-25,0,668,LATE_MINOR,XpressBees,6569.0,False
SHP00218,2025-W04,SKU-002,Central,2025-01-23,2025-01-23,0,983,LATE_MINOR,XpressBees,6904.0,False
SHP00219,2025-W04,SKU-003,North,2025-01-21,2025-01-21,0,622,LATE_MINOR,Delhivery,1768.0,False
SHP00220,2025-W04,SKU-003,North,2025-01-22,2025-01-24,2,1477,LATE_MINOR,Ecom Express,2623.0,False
SHP00221,2025-W04,SKU-003,North,2025-01-24,2025-01-25,1,417,LATE_MINOR,Delhivery,7253.0,False
SHP00222,2025-W04,SKU-003,South,2025-01-24,2025-01-24,0,675,LATE_MINOR,Delhivery,1670.0,False
SHP00223,2025-W04,SKU-003,South,2025-01-22,2025-01-23,1,1169,LATE_MINOR,Ecom Express,7072.0,False
SHP00224,2025-W04,SKU-003,East,2025-01-23,2025-01-25,2,1406,LATE_MINOR,BlueDart,6180.0,False
SHP00225,2025-W04,SKU-003,East,2025-01-24,2025-01-24,0,672,LATE_MINOR,Ecom Express,3975.0,False
SHP00226,2025-W04,SKU-003,East,2025-01-24,2025-01-25,1,965,LATE_MINOR,XpressBees,3584.0,False
SHP00227,2025-W04,SKU-003,West,2025-01-25,2025-01-24,0,637,ON_TIME,XpressBees,4735.0,False
SHP00228,2025-W04,SKU-003,West,2025-01-25,2025-01-24,0,1105,ON_TIME,XpressBees,4814.0,False
SHP00229,2025-W04,SKU-003,West,2025-01-22,2025-01-21,0,1104,ON_TIME,XpressBees,4463.0,False
